Tid	Nr	Lufttemperatur
2017.01.01.00	1	2.100	
2017.01.01.12	2	2.400	
2017.01.01.15	3	2.300	
2017.01.01.18	4	1.300	
2017.01.01.21	5	-0.300	
2017.01.02.00	6	-0.200	
2017.01.02.03	7	-1.200	
2017.01.02.06	8	-1.100	
2017.01.02.12	9	-0.900	
2017.01.02.15	10	-1.000	
2017.01.02.18	11	-1.100	
2017.01.02.21	12	-0.500	
2017.01.03.00	13	-0.600	
2017.01.03.03	14	0.200	
2017.01.03.06	15	0.400	
2017.01.03.12	16	4.100	
2017.01.03.15	17	2.100	
2017.01.03.18	18	2.200	
2017.01.04.12	19	1.600	
2017.01.04.15	20	0.100	
2017.01.04.18	21	-0.500	
2017.01.04.21	22	-0.600	
2017.01.05.00	23	-1.000	
2017.01.05.03	24	-2.100	
2017.01.05.06	25	-5.100	
2017.01.05.09	26	-5.400	
2017.01.05.12	27	-1.800	
2017.01.05.15	28	-2.400	
2017.01.05.18	29	-3.300	
2017.01.05.21	30	-2.600	
2017.01.06.00	31	-1.800	
2017.01.06.03	32	0.100	
2017.01.06.06	33	0.300	
2017.01.06.09	34	0.000	
2017.01.06.12	35	1.000	
2017.01.06.15	36	1.300	
2017.01.06.18	37	2.300	
2017.01.06.21	38	4.000	
2017.01.07.00	39	3.700	
2017.01.07.03	40	2.800	
2017.01.07.06	41	2.900	
2017.01.07.09	42	1.400	
2017.01.07.12	43	1.400	
2017.01.07.15	44	2.100	
2017.01.07.18	45	-0.100	
2017.01.07.21	46	0.200	
2017.01.08.00	47	1.000	
2017.01.08.06	48	1.700	
2017.01.08.15	49	3.700	
2017.01.15.09	50	-5.900	
2017.01.15.12	51	-3.500	
2017.01.15.15	52	-4.700	
2017.01.15.18	53	-5.500	
2017.01.15.21	54	-6.200	
2017.01.16.00	55	-6.300	
2017.01.16.03	56	-6.800	
2017.01.16.06	57	-6.500	
2017.01.16.09	58	-6.800	
2017.01.16.12	59	-3.200	
2017.01.16.15	60	-0.900	
2017.01.16.18	61	0.000	
2017.01.16.21	62	0.200	
2017.01.17.00	63	-0.200	
2017.01.17.03	64	-0.500	
2017.01.17.06	65	1.100	
2017.01.17.09	66	2.000	
2017.01.17.12	67	2.800	
2017.01.17.15	68	3.300	
2017.01.17.18	69	3.900	
2017.01.17.21	70	4.500	
2017.01.18.00	71	4.400	
2017.01.18.03	72	4.500	
2017.01.18.06	73	4.600	
2017.01.18.09	74	5.300	
2017.01.18.12	75	5.400	
2017.01.18.15	76	5.300	
2017.01.18.18	77	5.600	
2017.01.18.21	78	5.700	
2017.01.19.00	79	5.800	
2017.01.19.03	80	5.800	
2017.01.19.06	81	6.200	
2017.01.19.09	82	7.100	
2017.01.19.12	83	6.600	
2017.01.19.15	84	7.400	
2017.01.19.18	85	7.400	
2017.01.19.21	86	7.200	
2017.01.20.00	87	6.900	
2017.01.20.03	88	6.700	
2017.01.20.06	89	6.700	
2017.01.20.09	90	6.800	
2017.01.20.12	91	7.100	
2017.01.20.15	92	6.700	
2017.01.20.18	93	6.300	
2017.01.20.21	94	6.000	
2017.01.21.00	95	5.700	
2017.01.21.03	96	5.000	
2017.01.21.06	97	4.300	
2017.01.21.09	98	4.300	
2017.01.21.12	99	4.700	
2017.01.21.15	100	5.200	
